2024-10-04 11:25:38,569 - CLTR - INFO - Training Epoch:[29/1500]	 loss=9.64427	 lr=0.000010	 epoch_time=193.661
2024-10-04 11:28:40,865 - CLTR - INFO - Training Epoch:[30/1500]	 loss=9.62766	 lr=0.000010	 epoch_time=182.293
2024-10-04 11:31:47,832 - CLTR - INFO - Training Epoch:[31/1500]	 loss=9.42586	 lr=0.000010	 epoch_time=186.963
2024-10-04 11:35:10,522 - CLTR - INFO - Training Epoch:[32/1500]	 loss=9.61696	 lr=0.000010	 epoch_time=202.686
2024-10-04 11:38:39,416 - CLTR - INFO - Training Epoch:[33/1500]	 loss=9.27202	 lr=0.000010	 epoch_time=208.890
2024-10-04 11:42:12,163 - CLTR - INFO - Training Epoch:[34/1500]	 loss=8.67242	 lr=0.000010	 epoch_time=212.744
2024-10-04 11:45:40,523 - CLTR - INFO - Training Epoch:[35/1500]	 loss=8.13823	 lr=0.000010	 epoch_time=208.356
2024-10-04 11:49:09,747 - CLTR - INFO - Training Epoch:[36/1500]	 loss=8.70805	 lr=0.000010	 epoch_time=209.219
2024-10-04 11:52:36,001 - CLTR - INFO - Training Epoch:[37/1500]	 loss=8.65286	 lr=0.000010	 epoch_time=206.251
2024-10-04 11:56:03,138 - CLTR - INFO - Training Epoch:[38/1500]	 loss=8.29677	 lr=0.000010	 epoch_time=207.134
2024-10-04 11:59:28,724 - CLTR - INFO - Training Epoch:[39/1500]	 loss=8.10710	 lr=0.000010	 epoch_time=205.583
2024-10-04 12:02:56,054 - CLTR - INFO - Training Epoch:[40/1500]	 loss=8.13421	 lr=0.000010	 epoch_time=207.326
2024-10-04 12:06:22,223 - CLTR - INFO - Training Epoch:[41/1500]	 loss=8.07483	 lr=0.000010	 epoch_time=206.166
2024-10-04 12:09:52,890 - CLTR - INFO - Training Epoch:[42/1500]	 loss=7.74928	 lr=0.000010	 epoch_time=210.664
2024-10-04 12:13:22,074 - CLTR - INFO - Training Epoch:[43/1500]	 loss=7.84416	 lr=0.000010	 epoch_time=209.179
2024-10-04 12:16:52,096 - CLTR - INFO - Training Epoch:[44/1500]	 loss=7.73046	 lr=0.000010	 epoch_time=210.017
2024-10-04 12:20:21,383 - CLTR - INFO - Training Epoch:[45/1500]	 loss=7.55934	 lr=0.000010	 epoch_time=209.284
2024-10-04 12:23:48,262 - CLTR - INFO - Training Epoch:[46/1500]	 loss=7.36353	 lr=0.000010	 epoch_time=206.874
2024-10-04 12:27:16,276 - CLTR - INFO - Training Epoch:[47/1500]	 loss=7.69187	 lr=0.000010	 epoch_time=208.011
2024-10-04 12:30:50,971 - CLTR - INFO - Training Epoch:[48/1500]	 loss=7.88131	 lr=0.000010	 epoch_time=214.691
2024-10-04 12:34:19,623 - CLTR - INFO - Training Epoch:[49/1500]	 loss=7.91307	 lr=0.000010	 epoch_time=208.648
2024-10-04 12:37:47,086 - CLTR - INFO - Training Epoch:[50/1500]	 loss=7.58681	 lr=0.000010	 epoch_time=207.460
2024-10-04 12:41:20,649 - CLTR - INFO - Training Epoch:[51/1500]	 loss=7.39750	 lr=0.000010	 epoch_time=213.559
2024-10-04 12:44:46,277 - CLTR - INFO - Training Epoch:[52/1500]	 loss=7.18239	 lr=0.000010	 epoch_time=205.625
2024-10-04 12:48:17,401 - CLTR - INFO - Training Epoch:[53/1500]	 loss=7.45280	 lr=0.000010	 epoch_time=211.121
2024-10-04 12:51:45,269 - CLTR - INFO - Training Epoch:[54/1500]	 loss=7.65054	 lr=0.000010	 epoch_time=207.866
2024-10-04 12:55:17,304 - CLTR - INFO - Training Epoch:[55/1500]	 loss=7.16917	 lr=0.000010	 epoch_time=212.030
2024-10-04 12:58:44,241 - CLTR - INFO - Training Epoch:[56/1500]	 loss=6.95157	 lr=0.000010	 epoch_time=206.933
2024-10-04 13:02:13,629 - CLTR - INFO - Training Epoch:[57/1500]	 loss=7.33540	 lr=0.000010	 epoch_time=209.384
2024-10-04 13:05:42,583 - CLTR - INFO - Training Epoch:[58/1500]	 loss=7.47944	 lr=0.000010	 epoch_time=208.949
2024-10-04 13:09:15,415 - CLTR - INFO - Training Epoch:[59/1500]	 loss=7.21888	 lr=0.000010	 epoch_time=212.828
2024-10-04 13:12:45,638 - CLTR - INFO - Training Epoch:[60/1500]	 loss=7.26192	 lr=0.000010	 epoch_time=210.220
2024-10-04 13:16:17,331 - CLTR - INFO - Training Epoch:[61/1500]	 loss=7.48259	 lr=0.000010	 epoch_time=211.689
2024-10-04 13:19:46,062 - CLTR - INFO - Training Epoch:[62/1500]	 loss=7.43529	 lr=0.000010	 epoch_time=208.727
2024-10-04 13:23:13,355 - CLTR - INFO - Training Epoch:[63/1500]	 loss=7.12800	 lr=0.000010	 epoch_time=207.287
2024-10-04 13:26:40,360 - CLTR - INFO - Training Epoch:[64/1500]	 loss=7.14221	 lr=0.000010	 epoch_time=207.002
2024-10-04 13:30:13,843 - CLTR - INFO - Training Epoch:[65/1500]	 loss=7.17295	 lr=0.000010	 epoch_time=213.479
2024-10-04 13:33:41,427 - CLTR - INFO - Training Epoch:[66/1500]	 loss=6.69881	 lr=0.000010	 epoch_time=207.580
2024-10-04 13:37:11,780 - CLTR - INFO - Training Epoch:[67/1500]	 loss=6.92356	 lr=0.000010	 epoch_time=210.350
2024-10-04 13:40:41,964 - CLTR - INFO - Training Epoch:[68/1500]	 loss=7.28936	 lr=0.000010	 epoch_time=210.181
2024-10-04 13:44:13,484 - CLTR - INFO - Training Epoch:[69/1500]	 loss=6.95123	 lr=0.000010	 epoch_time=211.518
2024-10-04 13:47:40,706 - CLTR - INFO - Training Epoch:[70/1500]	 loss=6.90379	 lr=0.000010	 epoch_time=207.218
2024-10-04 13:51:08,329 - CLTR - INFO - Training Epoch:[71/1500]	 loss=6.73889	 lr=0.000010	 epoch_time=207.620
2024-10-04 13:54:38,945 - CLTR - INFO - Training Epoch:[72/1500]	 loss=6.55302	 lr=0.000010	 epoch_time=210.612
2024-10-04 13:58:07,649 - CLTR - INFO - Training Epoch:[73/1500]	 loss=7.02019	 lr=0.000010	 epoch_time=208.701
2024-10-04 14:01:39,202 - CLTR - INFO - Training Epoch:[74/1500]	 loss=6.46632	 lr=0.000010	 epoch_time=211.549
2024-10-04 14:05:06,572 - CLTR - INFO - Training Epoch:[75/1500]	 loss=6.96998	 lr=0.000010	 epoch_time=207.367
